	Hip	V	RA (deg)	Dec (deg)	Par(mas)	B-V	M_V	Sp

 	90618	7.02	277.36428493	13.85511061	21.33	3.66	0.45	

 	90626	8.65	277.38250514	9.06191053	37.22	6.5	0.98	

 	90656	8.04	277.46794575	-1.81763239	53.3	6.67	1.07	

 	90729	6.49	277.67350531	20.81568735	27.92	3.72	0.8	

 	90760	8.18	277.76249635	73.08355959	16.68	4.29	0.56	

 	90790	6.81	277.82935904	-18.90833868	75.71	6.21	0.86	

 	90813	7.98	277.87557686	45.01063741	16.11	4.02	0.59	

 	90833	8.26	277.94968545	61.77890188	21.1	4.88	0.64	

 	90835	7.64	277.96537959	49.89116338	14.42	3.43	0.43	

 	90864	7.2	278.0433192	13.73626659	39.73	5.2	0.69	

 	90936	6.22	278.25354464	-39.89182658	27.72	3.43	0.43	

 	90945	8.5	278.2716738	-54.26284479	53.0	7.12	1.12	

 	90979	10.03	278.37084801	-11.6354613	39.34	8.0	1.26	

 	91043	7.39	278.5838136	18.69018708	26.87	4.54	0.62	

 	91058	7.55	278.62731322	34.41517244	19.12	3.96	0.51	

 	91120	7.16	278.81037927	41.58135404	20.14	3.68	0.44	

 	91128	9.84	278.82505166	45.74315534	64.61	8.89	1.42	

 	91154	9.34	278.95778181	-61.22586921	46.38	7.67	1.15	

 	91210	7.58	279.09728975	66.91338216	28.27	4.84	0.62	

 	91229	8.22	279.1408808	63.3620558	18.58	4.57	0.62	

 	91237	5.43	279.16288632	6.67215598	31.53	2.92	0.39	

 	91258	8.65	279.22167774	61.70306934	22.49	5.41	0.81	

 	91262	0.03	279.23410832	38.78299311	128.93	0.58	-0.0	

 	91287	7.43	279.30303766	-25.67058294	33.17	5.03	0.69	

 	91318	7.4	279.39529652	46.14987025	13.58	3.06	0.4	

 	91326	10.78	279.41164579	34.69079611	34.03	8.44	1.36	

 	91337	6.77	279.43943981	-4.80690952	20.5	3.33	0.37	

 	91360	8.34	279.49539281	-6.80451053	26.97	5.49	0.83	

 	91364	8.32	279.50724796	42.66505771	35.14	6.05	0.82	

 	91371	9.0	279.52469012	58.4184499	20.27	5.53	0.79	

 	91381	8.44	279.56723078	28.92656765	28.26	5.7	0.7	

 	91434	8.11	279.70799692	-85.70884796	15.89	4.12	0.58	

 	91438	5.85	279.72269706	-21.05150199	77.02	5.28	0.67	

 	91439	7.8	279.72249876	-76.49922613	15.58	3.76	0.49	

 	91507	7.5	279.9255612	37.99296638	21.08	4.12	0.53	

 	91563	7.28	280.08748592	33.68467018	19.08	3.68	0.46	

 	91608	10.63	280.23901878	-13.37797768	61.63	9.58	1.5	

 	91611	8.25	280.25114778	54.92617382	13.55	3.91	0.51	

 	91645	7.06	280.33465893	4.55825375	25.41	4.09	0.51	

 	91656	7.53	280.361612	75.29956231	11.07	2.75	0.32	

 	91699	11.27	280.49684034	31.83046912	88.14	11.0	1.58	

 	91700	7.95	280.50983701	-34.46617765	30.08	5.34	0.75	

 	91726	4.7	280.56842553	-9.05255357	17.44	0.91	0.36	

 	91773	7.94	280.70548417	57.86517463	16.18	3.98	0.65	

 	91775	6.95	280.7108655	47.57514361	13.91	2.67	0.3	

 	91792	4.01	280.75889095	-71.42772867	15.55	-0.03	1.13	

 	91812	7.99	280.7936035	69.34973187	13.54	3.65	0.54	

 	91823	7.64	280.82540746	57.81868405	12.48	3.12	0.58	

 	91875	5.11	280.94558795	-38.32331062	16.15	1.15	0.07	

 	91883	5.68	280.9650595	31.92691949	19.27	2.1	0.36	

 	91905	8.56	281.04046335	46.1138724	27.2	5.73	0.73	

 	91940	7.84	281.12803107	33.99616778	19.39	4.28	0.56	

 	91941	7.7	281.12925576	57.28488217	14.74	3.54	0.54	

 	91949	7.54	281.14668506	43.83327937	36.7	5.36	0.84	

 	91958	6.3	281.16785681	23.59009138	22.52	3.06	0.44	

 	91971	4.34	281.19306613	37.60505025	21.23	0.97	0.19	

 	91973	5.73	281.20079095	37.59456466	21.72	2.41	0.28	

 	92024	4.78	281.36190079	-64.87089771	34.21	2.45	0.2	

 	92043	4.19	281.4155466	20.54712356	52.37	2.79	0.48	

 	92056	5.25	281.44481933	74.08535352	9.74	0.19	0.95	

 	92088	4.83	281.51861708	26.66207055	12.96	0.39	1.2	

 	92103	6.84	281.56583128	-72.81337122	15.01	2.72	0.49	

 	92112	5.37	281.59276611	75.43379735	10.73	0.52	0.05	

 	92200	8.81	281.86386608	-3.63916615	70.8	8.06	1.29	

 	92233	6.39	281.95501862	-77.86861256	23.19	3.22	0.59	

 	92269	6.12	282.06704599	48.76743801	17.81	2.37	0.23	

 	92270	6.19	282.06827761	23.51476509	34.85	3.9	0.49	

 	92283	7.97	282.12145481	10.74651186	57.79	6.78	1.07	

 	92291	6.97	282.15108358	45.26155339	16.2	3.02	0.35	

 	92294	5.71	282.15815797	-65.07748945	14.45	1.51	0.27	

 	92311	9.17	282.2171726	17.43997462	58.6	8.01	1.28	

 	92325	7.71	282.25407649	34.5409559	17.02	3.86	0.57	

 	92388	8.59	282.41025874	13.21914865	27.53	5.79	0.73	

 	92405	5.22	282.47052043	32.55108873	13.7	0.9	0.1	

 	92417	10.73	282.50390954	3.08910317	45.88	9.04	1.45	

 	92418	7.52	282.50831977	15.31119189	18.34	3.84	0.62	

 	92451	10.74	282.6105529	-62.05117896	59.94	9.63	1.48	

 	92519	7.55	282.83223256	-44.47545357	19.77	4.03	0.53	

 	92532	7.15	282.85390681	38.6264641	33.31	4.76	0.59	

 	92549	5.51	282.89583932	52.97452091	38.32	3.43	0.84	

 	92569	7.51	282.95177431	3.03136205	35.35	5.25	0.7	

 	92573	10.16	282.96383719	16.58445361	64.13	9.2	1.45	

 	92714	7.79	283.37090887	44.12898274	13.75	3.48	0.46	

 	92720	7.9	283.40894882	37.98545004	18.94	4.29	0.67	

 	92742	8.41	283.48829188	-54.90587481	25.75	5.46	0.88	

 	92782	4.82	283.59902616	71.29708956	9.47	-0.3	1.15	

 	92793	7.7	283.62686725	58.73581008	12.38	3.16	0.39	

 	92822	5.84	283.69653895	48.85972353	18.89	2.22	0.45	

 	92824	5.29	283.69853501	-87.60551487	13.06	0.87	1.3	

 	92831	5.46	283.71740921	41.60272814	12.19	0.89	1.03	

 	92858	7.98	283.82791823	-37.49748357	41.84	6.09	0.86	

 	92871	10.1	283.86398515	8.40267585	86.27	9.78	1.54	

 	92882	5.56	283.87925799	-16.37618751	31.24	3.03	0.45	

 	92900	7.16	283.93638072	-16.3490855	19.26	3.58	0.47	

 	92919	8.16	283.97142294	23.55733799	46.64	6.5	0.91	

 	92969	5.62	284.10725292	65.25815397	10.39	0.7	0.94	

 	92984	6.71	284.15489096	4.26533443	37.0	4.55	0.58	

 	92997	5.67	284.18783092	57.81499531	11.4	0.95	1.16	

 	93007	7.62	284.20597185	68.29239059	23.47	4.47	0.68	

 	93097	6.56	284.48865324	77.05098126	16.46	2.64	0.42	

 	93101	9.22	284.50104782	5.91108971	90.02	8.99	1.44	

 	93138	6.22	284.59879391	6.24018925	17.64	2.45	0.48	

 	93174	4.83	284.68114151	-37.10708855	33.43	2.45	0.4	

 	93179	5.91	284.69551472	13.90677273	13.45	1.55	0.25	

 	93185	6.8	284.71235563	30.18017204	42.68	4.95	0.61	

 	93195	8.39	284.73564558	-0.50370115	32.89	5.98	0.83	

 	93203	5.27	284.77387015	13.62254853	20.99	1.88	0.57	

 	93206	11.13	284.78052202	-48.27326531	72.07	10.42	1.45	

 	93252	7.06	284.92746028	16.2528738	22.36	3.81	0.51	

 	93350	6.82	285.2090322	42.25288346	28.6	4.1	0.53	

 	93377	7.85	285.27731567	15.68374735	25.52	4.88	0.7	

 	93408	5.0	285.3598321	46.93502175	25.54	2.04	0.19	

 	93427	7.2	285.4155775	41.4900153	24.23	4.12	0.57	

 	93540	8.42	285.77478523	-11.04335177	36.39	6.22	0.94	

 	93542	4.74	285.77846922	-42.09499443	17.75	0.99	-0.03	

 	93547	7.07	285.80092625	-56.99628944	21.34	3.72	0.89	

 	93566	7.61	285.86111975	17.06750914	23.09	4.43	0.61	

 	93580	5.82	285.88432906	1.81893472	18.12	2.11	0.18	

 	93645	6.93	286.0403358	17.55591189	21.18	3.56	0.47	

 	93657	8.38	286.06818823	41.00319661	17.06	4.54	0.66	

 	93683	3.76	286.17055765	-21.74135451	23.49	0.61	1.01	

 	93713	5.4	286.22987335	53.39660317	9.34	0.25	-0.01	

 	93731	8.54	286.28071913	23.07719556	30.16	5.94	0.81	

 	93743	6.51	286.327403	-1.51222647	22.31	3.25	0.36	

 	93746	7.18	286.33666621	25.92078674	16.94	3.32	1.09	

 	93747	2.99	286.3525518	13.86370983	39.18	0.96	0.01	

 	93805	3.43	286.56229139	-4.88233456	26.05	0.51	-0.1	

 	93827	7.25	286.60595985	-11.89639381	25.78	4.31	0.57	

 	93843	5.53	286.65701713	28.6283896	24.5	2.48	0.3	

 	93858	6.15	286.71918034	-37.80976697	58.24	4.98	0.7	

 	93871	9.23	286.75929861	7.61772281	41.19	7.3	1.06	

 	93873	10.77	286.77443107	20.88888827	115.91	11.09	1.57	

 	93899	10.76	286.80626789	20.87782548	112.82	11.02	1.57	

 	93917	5.2	286.85623123	32.50166027	24.64	2.16	0.37	

 	93926	7.78	286.88463423	30.25424179	35.7	5.54	0.76	

 	93966	6.08	286.98867463	16.85412507	47.72	4.47	0.7	

 	93975	6.22	287.01456055	21.69874452	22.83	3.01	0.43	

 	94013	5.88	287.10785255	52.42586424	14.24	1.65	1.09	

 	94061	8.17	287.23701857	-17.53545002	22.32	4.91	0.76	

 	94068	5.23	287.24965607	6.07339716	22.96	2.03	0.35	

 	94083	5.11	287.29061868	76.56079335	36.64	2.93	0.31	

 	94114	4.11	287.36782635	-37.90423953	25.15	1.11	0.04	

 	94126	8.23	287.40785594	76.18272043	16.61	4.33	0.57	

 	94140	6.26	287.44083917	65.97844349	10.15	1.29	0.01	

 	94150	5.31	287.46925968	-68.42434424	27.13	2.48	0.9	

 	94154	7.53	287.47629067	-68.29958856	28.44	4.8	0.6	

 	94225	9.36	287.71798899	-47.15707728	49.84	7.85	1.32	

 	94290	6.35	287.87900681	26.73594891	23.2	3.18	0.44	

 	94302	5.13	287.91883762	56.85909594	9.57	0.03	1.01	

 	94346	7.04	288.04633448	57.67098903	50.0	5.53	0.8	

 	94376	3.07	288.13814581	67.66131695	32.54	0.63	0.99	

 	94490	5.0	288.47985288	57.70525514	20.14	1.52	1.16	

 	94501	7.97	288.50587317	59.55155246	22.6	4.74	0.61	

 	94540	7.26	288.62151846	34.56416093	14.8	3.11	0.44	

 	94582	9.55	288.73092958	71.52876821	18.21	5.85	0.77	

 	94629	7.65	288.84393842	38.71136411	13.56	3.31	0.4	

 	94631	8.07	288.85587759	-79.02832588	16.75	4.19	0.52	

 	94645	6.25	288.88814331	-24.17910471	36.97	4.09	0.55	

 	94650	8.06	288.89560006	11.55513788	39.43	6.04	0.91	

 	94755	6.02	289.21414473	46.99839321	23.57	2.88	0.48	

 	94757	6.93	289.21717717	-10.97179907	34.73	4.63	0.57	

 	94761	9.12	289.23164974	5.17214064	170.26	10.28	1.46	

 	94779	3.8	289.27545794	53.36816064	26.48	0.91	0.95	

 	94798	7.26	289.32696289	49.85037109	13.16	2.86	0.4	

 	94842	8.31	289.47330683	25.36916243	20.02	4.82	0.68	

 	94858	6.36	289.54065361	-53.38688837	21.94	3.07	0.51	

 	94863	8.46	289.55236701	-38.38434513	24.0	5.36	0.81	

 	94905	7.01	289.68825089	16.48838911	27.4	4.2	0.54	

 	94931	8.87	289.75196603	41.63613932	28.28	6.13	0.81	

 	94966	7.25	289.87906505	-36.65829879	20.26	3.78	0.51	

 	94981	6.29	289.9126806	37.33098454	39.64	4.28	0.68	

 	95055	6.57	290.1126263	-1.30988396	20.21	3.1	0.44	

 	95077	5.59	290.15898277	-22.40260314	17.52	1.81	0.28	

 	95081	4.6	290.16696656	65.7144303	14.52	0.41	0.03	

 	95167	6.06	290.41767071	79.60289362	10.56	1.18	0.07	

 	95168	3.92	290.41823037	-17.84725155	26.79	1.06	0.23	

 	95253	6.34	290.70144198	9.91288991	27.99	3.58	0.46	

 	95261	5.03	290.71325245	-54.42372882	20.98	1.64	0.02	

 	95270	7.04	290.74549548	-54.53784921	19.77	3.52	0.48	

 	95274	8.97	290.75808453	47.71476367	20.94	5.57	0.75	

 	95319	6.37	290.89148075	33.22157011	64.54	5.42	0.8	

 	95362	7.01	291.01376479	44.93344794	18.34	3.33	0.81	

 	95385	6.58	291.05314349	-62.99824562	18.54	2.92	0.46	

 	95428	7.81	291.17411989	22.20173004	29.97	5.19	0.72	

 	95447	5.17	291.2407096	11.94285122	66.01	4.27	0.76	

 	95492	6.19	291.35779819	24.91430832	36.05	3.97	0.53	

 	95560	5.6	291.55518356	20.09782036	14.94	1.47	-0.01	

 	95571	7.91	291.59612571	-63.2299581	21.09	4.53	0.53	

 	95572	5.76	291.60052721	13.02365808	17.96	2.03	0.46	

 	95611	7.38	291.69956418	50.14531228	12.6	2.88	0.51	

 	95718	6.72	292.02718657	-69.63203953	18.19	3.02	0.51	

 	95772	7.45	292.19330787	11.02705223	22.37	4.2	0.62	

 	95821	6.95	292.33942055	31.60965599	27.47	4.14	0.72	

 	95823	5.7	292.34904557	-43.44491571	17.42	1.91	0.21	

 	95849	7.13	292.41903219	-30.79712295	28.78	4.43	0.6	

 	95853	3.76	292.42641389	51.72946747	26.63	0.89	0.15	

 	95890	9.98	292.52338993	21.67660689	33.64	7.61	1.16	

 	95905	6.6	292.56178392	-32.09130942	20.27	3.13	0.39	

 	95932	6.29	292.6440517	-55.11002087	27.25	3.47	0.45	

 	95938	7.81	292.66657655	35.10237977	19.9	4.3	0.56	

 	95962	7.27	292.72000978	-6.51407984	29.18	4.6	0.64	

 	96016	5.89	292.84005924	26.61710997	16.87	2.03	0.92	

 	96077	8.05	293.01088293	50.18083536	19.16	4.46	0.66	

 	96085	7.53	293.02735301	-11.27498601	55.5	6.25	0.92	

 	96095	6.48	293.0587964	-44.54646647	23.85	3.37	0.53	

 	96100	4.67	293.08577692	69.66540172	173.41	5.87	0.79	

 	96113	8.69	293.1269833	-35.45211196	45.34	6.97	1.09	

 	96121	10.42	293.15745654	0.57745578	43.86	8.63	1.41	

 	96124	7.14	293.16785025	-28.01798732	38.38	5.06	0.68	

 	96183	6.89	293.35652595	21.84082728	49.61	5.37	0.75	

 	96184	7.81	293.35930854	23.49751327	22.52	4.57	0.65	

 	96185	6.62	293.36418518	33.20131999	31.29	4.1	0.59	

 	96229	4.45	293.52178228	7.37931918	29.5	1.8	1.18	

 	96258	5.71	293.58233594	51.23707706	39.08	3.67	0.47	

 	96265	7.73	293.60885874	-12.92644835	20.34	4.27	0.61	

 	96285	9.35	293.66472043	4.58175785	69.09	8.55	1.39	

 	96308	7.91	293.73104734	11.42408265	23.69	4.78	0.67	

 	96313	6.74	293.74554324	27.22525224	15.49	2.69	0.29	

 	96334	7.89	293.79052534	-69.9751538	28.22	5.14	0.65	

 	96345	8.16	293.81930942	-69.09297072	22.65	4.94	0.67	

 	96351	6.37	293.85469016	2.91347598	23.79	3.25	0.41	

 	96370	6.74	293.89884607	-20.78168328	31.6	4.24	0.56	

 	96395	6.73	293.98172144	56.98438763	41.24	4.81	0.64	

 	96402	7.55	294.00275529	0.09212239	25.56	4.59	0.68	

 	96425	8.46	294.06247837	-81.24739364	22.2	5.19	0.77	

 	96434	7.12	294.09576188	15.89218485	19.2	3.54	0.53	

 	96441	4.49	294.11059344	50.22046347	53.78	3.14	0.4	

 	96459	5.17	294.15856119	44.69518822	24.64	2.13	0.93	

 	96507	6.67	294.29900895	28.50006016	21.11	3.29	0.61	

 	96536	5.46	294.39365282	-14.30144432	32.36	3.01	0.5	

 	96556	5.45	294.44690167	-4.64750966	31.14	2.92	0.43	

 	96561	8.98	294.46536935	43.62596023	22.85	5.77	0.84	

 	96620	5.89	294.67144862	54.973395	25.12	2.89	0.48	

 	96635	9.11	294.71431166	-25.87150784	28.29	6.37	0.87	

 	96702	10.94	294.88843753	71.87306594	45.88	9.25	1.48	

 	96710	10.49	294.89971054	-26.75131985	44.84	8.75	1.39	

 	96813	6.97	295.18783833	-7.51220178	20.86	3.57	0.53	

 	96816	7.81	295.19338717	44.5284613	12.61	3.31	0.55	

 	96825	5.06	295.20880618	45.5246494	20.51	1.62	0.43	

 	96834	7.53	295.2290351	-1.86996181	21.06	4.15	0.54	

 	96839	8.48	295.2710223	84.72973456	19.64	4.95	0.65	

 	96854	8.11	295.30720004	-32.87306496	24.09	5.02	0.73	

 	96861	9.03	295.32535279	-56.32174782	29.58	6.38	1.04	

 	96895	5.99	295.45453769	50.52544635	46.25	4.32	0.64	

 	96901	6.25	295.46706651	50.51792062	46.7	4.6	0.66	

 	96906	7.48	295.48846918	36.22571935	18.75	3.85	0.44	

 	96907	6.22	295.49010781	40.25405313	12.0	1.62	0.18	

 	96948	7.64	295.62361337	1.58667115	24.81	4.61	0.66	

 	96950	5.06	295.6295525	-16.12397392	18.67	1.42	0.32	

 	97018	6.95	295.76874198	39.99707659	14.25	2.72	0.31	

 	97023	6.87	295.77905778	24.59859981	22.1	3.59	0.57	

 	97030	7.89	295.79805629	-10.67942462	23.99	4.79	0.59	

 	97033	6.29	295.80949004	58.01675205	22.23	3.02	0.59	

 	97051	10.0	295.85510662	10.08926496	44.18	8.23	1.26	

 	97070	6.28	295.91455272	57.04265606	12.88	1.83	0.89	

 	97118	4.89	296.06896508	37.35426967	11.7	0.23	0.95	

 	97156	8.74	296.21851623	-52.33611437	33.38	6.36	0.99	

 	97219	9.0	296.37539384	50.77189993	21.58	5.67	0.88	

 	97229	5.89	296.41631572	7.61315784	18.48	2.22	0.18	

 	97255	7.02	296.48874776	4.24849718	33.05	4.62	0.61	

 	97286	8.27	296.58007442	54.63851331	15.31	4.19	0.5	

 	97290	4.87	296.59091351	-19.76089482	15.92	0.88	1.06	

 	97295	5.0	296.6065996	33.72868813	47.94	3.4	0.48	

 	97319	6.66	296.66456764	25.13384038	16.37	2.73	0.29	

 	97336	7.83	296.74171584	34.41982386	20.87	4.43	0.66	

 	97358	7.6	296.82559835	-18.74638679	32.32	5.15	0.69	

 	97384	6.77	296.88890477	1.08943925	20.22	3.3	0.61	

 	97399	7.86	296.94372078	63.86030722	18.8	4.23	0.6	

 	97405	7.69	296.96320454	-29.15933342	29.37	5.03	0.67	

 	97420	6.87	297.00369884	27.86898992	38.44	4.79	0.66	

 	97421	5.33	297.00459018	-56.36227755	19.19	1.75	0.2	

 	97438	6.64	297.06429046	59.42261842	35.25	4.38	0.59	

 	97509	6.97	297.28543324	27.73222024	20.17	3.49	0.61	

 	97515	6.04	297.29803947	-28.78873269	21.95	2.75	0.4	

 	97517	7.76	297.300762	57.4094798	20.5	4.32	0.61	

 	97527	7.53	297.32523785	41.58288539	18.78	3.9	0.51	

 	97534	5.39	297.35538694	-72.50341408	24.08	2.3	0.23	

 	97537	7.98	297.36167607	28.61000603	22.2	4.71	0.52	

 	97612	6.7	297.59128154	61.20897379	18.62	3.05	0.51	

 	97635	5.03	297.65722388	52.98816657	16.96	1.18	1.29	

 	97640	8.0	297.6696032	34.94957072	35.46	5.75	0.79	

 	97649	0.76	297.6945086	8.86738491	194.44	2.2	0.22	

 	97650	5.38	297.69501255	-10.76358902	37.86	3.27	0.4	

 	97674	6.04	297.75456049	-65.60470281	16.67	2.15	0.32	

 	97675	5.12	297.75625098	10.4160539	51.57	3.68	0.56	

 	97720	7.84	297.88706146	50.65416991	13.49	3.49	0.46	

 	97767	6.16	298.01518068	11.62913862	36.15	3.95	0.64	

 	97769	8.24	298.01878278	28.10059804	19.0	4.63	0.73	

 	97779	7.14	298.03878378	7.45988046	29.91	4.52	0.65	

 	97805	9.45	298.12459698	-23.94908031	35.64	7.21	1.16	

 	97846	7.57	298.25655645	38.7725441	17.72	3.81	0.77	

 	97892	6.06	298.39741251	59.70852496	9.61	0.97	0.03	

 	97944	6.22	298.57426614	-23.9400745	70.34	5.46	1.02	

 	98020	8.83	298.79042053	10.74023756	25.32	5.85	0.6	

 	98036	3.71	298.82819233	6.40793334	72.95	3.03	0.85	

 	98103	5.28	299.05930285	11.42370978	15.84	1.28	0.01	

 	98106	8.4	299.06739256	-72.3635678	42.78	6.56	1.06	

 	98110	3.89	299.07665069	35.08349079	23.4	0.74	1.02	

 	98111	6.16	299.07925317	56.68697532	11.67	1.5	0.09	

 	98130	8.42	299.15311166	-31.3353938	52.11	7.0	1.02	

 	98192	7.91	299.30561123	29.82344076	39.24	5.88	0.8	

 	98204	9.29	299.33207734	-12.56673822	52.92	7.91	1.32	

 	98206	7.19	299.33272084	24.08846018	23.47	4.04	0.64	

 	98245	8.37	299.47420003	62.96370523	17.34	4.57	0.59	

 	98316	8.54	299.63697548	-54.93659116	43.91	6.75	1.05	

 	98332	5.74	299.67157464	-69.16371251	14.08	1.48	0.22	

 	98382	6.8	299.83365068	84.66874674	11.11	2.03	0.17	

 	98421	5.3	299.96366659	-34.69763103	20.81	1.89	0.17	

 	98444	6.67	300.03472241	-50.21673189	26.01	3.75	0.4	

 	98470	5.65	300.08399517	-33.7027487	47.9	4.05	0.5	

 	98495	3.97	300.14747226	-72.91018443	30.73	1.41	-0.03	

 	98505	7.67	300.18214519	22.71146227	51.94	6.25	0.93	

 	98543	4.66	300.27504217	27.75356392	14.67	0.49	0.18	

 	98589	7.34	300.38629401	-16.86881347	29.2	4.67	0.65	

 	98621	8.12	300.46533977	-69.18760859	26.62	5.25	0.67	

 	98624	5.32	300.46835033	-66.94379223	13.91	1.04	1.22	

 	98677	7.15	300.64271983	15.59348989	51.71	5.72	0.71	

 	98692	8.32	300.67493212	53.88966128	16.25	4.37	0.68	

 	98698	7.46	300.69624414	3.32589486	76.26	6.87	1.13	

 	98714	7.3	300.75293126	28.3070266	16.1	3.33	0.79	

 	98718	6.84	300.760644	18.29552862	15.62	2.81	0.62	

 	98764	9.56	300.8972563	-73.7532487	27.72	6.77	0.95	

 	98767	5.73	300.90394052	29.89807932	62.92	4.72	0.75	

 	98785	6.44	300.93472579	-22.59565192	17.38	2.64	0.5	

 	98792	7.28	300.96985375	23.34290432	64.17	6.32	0.81	

 	98813	6.91	301.01091585	-37.87554693	35.88	4.68	0.61	

 	98819	5.8	301.02693796	17.07116105	56.6	4.56	0.6	

 	98828	7.82	301.04206099	25.79032448	46.28	6.15	0.92	

 	98839	8.16	301.0753285	-26.32935247	21.56	4.83	0.63	

 	98879	7.33	301.19517246	15.90302119	22.93	4.13	0.54	

 	98894	7.69	301.22963036	26.05515008	22.49	4.45	0.67	

 	98920	5.09	301.28947757	19.99087704	20.17	1.61	1.06	

 	98921	6.18	301.28994567	38.47818576	52.99	4.8	0.65	

 	98923	7.22	301.29306287	40.81391206	13.1	2.81	0.32	

 	98959	6.07	301.3811952	-67.31925724	56.45	4.83	0.65	

 	98962	5.4	301.38635475	61.99524822	18.78	1.77	1.19	

 	98978	7.44	301.41878307	48.56680305	20.09	3.95	0.66	

 	99026	5.81	301.55682854	53.16506746	27.43	3.0	0.45	

 	99031	5.38	301.59137234	35.97353894	41.34	3.46	0.85	

 	99046	7.99	301.63635972	-21.67657817	21.16	4.62	0.57	

 	99107	7.46	301.81658353	82.21646502	11.73	2.81	0.54	

 	99137	6.26	301.89613313	-55.0161003	43.08	4.43	0.53	

 	99169	6.99	301.99498965	77.82450374	10.95	2.19	0.49	

 	99171	5.97	302.00731244	-0.67802026	20.89	2.57	1.02	

 	99188	6.47	302.03988388	-52.5777484	17.3	2.66	0.68	

 	99229	7.54	302.14968868	-23.59028329	19.32	3.97	0.52	

 	99232	7.13	302.15168577	85.1242696	24.7	4.09	0.57	

 	99240	3.55	302.17441713	-66.17932101	163.73	4.62	0.75	

 	99241	7.4	302.17855815	50.58612905	22.43	4.15	0.57	

 	99273	7.18	302.27162269	-26.22386913	18.69	3.54	0.48	

 	99306	8.09	302.36750418	52.2761121	13.61	3.76	0.64	

 	99322	9.75	302.40175168	-14.28668893	31.49	7.24	1.14	

 	99344	8.38	302.45111662	-51.71811059	25.96	5.45	0.71	

 	99355	8.73	302.49859873	61.47371449	35.71	6.49	0.91	

 	99385	8.91	302.58275051	-20.49251554	63.82	7.93	1.3	

 	99414	7.51	302.65752456	57.38665396	14.43	3.31	0.45	

 	99427	8.88	302.71777449	77.23772618	59.53	7.75	1.32	

 	99452	7.34	302.77635847	16.18702943	48.83	5.78	0.83	

 	99461	5.32	302.79836763	-36.09738423	165.24	6.41	0.87	

 	99530	7.09	302.99590407	59.69135064	16.25	3.14	0.45	

 	99542	9.06	303.02283248	46.29979221	24.28	5.99	0.81	

 	99572	5.84	303.10731366	-12.61702214	35.65	3.6	0.48	

 	99634	8.46	303.31695679	-82.02809545	32.1	5.99	0.9	

 	99651	8.67	303.34491602	-15.43146074	27.33	5.85	0.73	

 	99655	4.28	303.34917142	56.56752223	21.41	0.93	0.11	

 	99701	7.97	303.46980202	-45.16363153	161.17	9.01	1.43	

 	99711	7.79	303.4995089	-0.86751441	50.27	6.3	0.94	

 	99737	7.56	303.55790244	35.36187739	16.11	3.6	0.54	

 	99742	4.94	303.56910667	15.19746767	21.24	1.58	0.07	

 	99764	10.19	303.61743702	-7.28132198	49.03	8.64	1.35	

 	99770	4.93	303.63326032	36.8061354	24.37	1.86	0.15	

 	99825	5.73	303.8190747	-27.03253576	113.33	6.0	0.88	

 	99832	8.44	303.83858986	64.19821274	14.79	4.29	0.81	

 	99880	9.98	303.96927228	42.979203	40.97	8.04	1.27	

 	99889	5.87	304.00252971	45.57965867	28.97	3.18	0.45	

 	99926	6.55	304.11019928	-35.19859739	23.48	3.4	0.38	

 	99957	7.03	304.20994701	-40.90545896	18.9	3.41	0.44	

 	100017	5.91	304.37763542	66.85296587	56.92	4.69	0.6	

 	100046	6.73	304.45911574	54.32234272	18.42	3.06	0.45	

 	100072	7.27	304.5417575	-4.72861347	27.3	4.45	0.57	

 	100108	5.58	304.61927485	36.9997539	16.76	1.7	0.06	

 	100184	6.13	304.8236872	-47.57984541	33.91	3.78	0.47	

 	100217	7.56	304.89327129	43.49588732	15.42	3.5	0.45	

 	100223	8.73	304.90522491	-46.42786662	55.73	7.46	1.17	

 	100225	8.2	304.90814198	-69.0150533	21.0	4.81	0.68	

 	100233	7.2	304.93859756	-25.22824312	23.07	4.02	0.59	

 	100271	9.96	305.07949342	52.2299325	24.0	6.86	1.08	

 	100280	8.41	305.1024118	-75.57823647	25.78	5.47	0.74	

 	100321	7.03	305.18194342	82.36815407	18.38	3.35	0.46	

 	100379	6.49	305.36858807	-66.74969742	22.72	3.27	0.51	

 	100396	6.91	305.39791216	-67.3128818	18.84	3.29	0.56	

 	100412	6.26	305.42233711	-49.99880746	30.84	3.71	0.55	

 	100490	10.6	305.67127784	-58.28460393	50.36	9.11	1.46	

 	100500	7.13	305.68783145	19.85007103	20.68	3.71	0.73	

